Using GPU: b'NVIDIA GeForce RTX 2080 Ti'
This network will be trained using DT = 0.005
Numpy seed: 1118289516, Cupy seed: 998927211
Loading datasets...
Creating network...
Training...
Train | Epoch 4.2 | Loss: 33.21, Accuracy (%): 77.67, Silent labels (%): 0.0, Time (s): 7.11
Train | Epoch 4.3 | Loss: 32.54, Accuracy (%): 78.8, Silent labels (%): 0.0, Time (s): 10.44
Train | Epoch 4.4 | Loss: 33.09, Accuracy (%): 77.83, Silent labels (%): 0.01, Time (s): 13.77
Train | Epoch 4.5 | Loss: 32.92, Accuracy (%): 77.74, Silent labels (%): 0.0, Time (s): 17.1
Train | Epoch 4.6 | Loss: 32.53, Accuracy (%): 78.04, Silent labels (%): 0.0, Time (s): 20.42
Train | Epoch 4.7 | Loss: 32.71, Accuracy (%): 78.49, Silent labels (%): 0.0, Time (s): 23.75
Train | Epoch 4.8 | Loss: 32.51, Accuracy (%): 78.15, Silent labels (%): 0.0, Time (s): 27.06
Train | Epoch 4.9 | Loss: 32.3, Accuracy (%): 78.49, Silent labels (%): 0.0, Time (s): 30.38
Train | Epoch 5.0 | Loss: 32.11, Accuracy (%): 78.72, Silent labels (%): 0.0, Time (s): 33.69
Test | Epoch 5.0 | Loss: 33.03, Accuracy (%): 77.65, Learning rate: 0.003, Hidden layer 1 spike counts: 302.43, Output layer spike counts: 149.63, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 445.17, Output layer weights norm: 94.63, Time (s): 2.6
Best accuracy: 77.65%, Networks save to: best_model
Train | Epoch 5.1 | Loss: 31.36, Accuracy (%): 79.47, Silent labels (%): 0.0, Time (s): 3.62
Train | Epoch 5.2 | Loss: 31.78, Accuracy (%): 78.68, Silent labels (%): 0.0, Time (s): 6.92
Train | Epoch 5.3 | Loss: 31.78, Accuracy (%): 79.07, Silent labels (%): 0.01, Time (s): 10.23
Train | Epoch 5.4 | Loss: 31.33, Accuracy (%): 79.32, Silent labels (%): 0.0, Time (s): 13.54
Train | Epoch 5.5 | Loss: 31.59, Accuracy (%): 78.76, Silent labels (%): 0.0, Time (s): 16.85
Train | Epoch 5.6 | Loss: 31.07, Accuracy (%): 79.56, Silent labels (%): 0.0, Time (s): 20.16
Train | Epoch 5.7 | Loss: 31.46, Accuracy (%): 78.65, Silent labels (%): 0.0, Time (s): 23.47
Train | Epoch 5.8 | Loss: 31.25, Accuracy (%): 79.0, Silent labels (%): 0.0, Time (s): 26.77
Train | Epoch 5.9 | Loss: 31.38, Accuracy (%): 79.51, Silent labels (%): 0.0, Time (s): 30.07
Train | Epoch 6.0 | Loss: 31.27, Accuracy (%): 79.36, Silent labels (%): 0.0, Time (s): 33.37
Test | Epoch 6.0 | Loss: 32.03, Accuracy (%): 78.32, Learning rate: 0.003, Hidden layer 1 spike counts: 291.52, Output layer spike counts: 149.71, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 470.28, Output layer weights norm: 97.1, Time (s): 2.6
Best accuracy: 78.32%, Networks save to: best_model
