Using GPU: b'NVIDIA GeForce RTX 2080 Ti'
This network will be trained using DT = 0.001
Numpy seed: 210405150, Cupy seed: 4063869
Loading datasets...
Creating network...
Training...
Train | Epoch 0.1 | Loss: 127.82, Accuracy (%): 22.84, Silent labels (%): 18.63, Time (s): 12.48
Train | Epoch 0.2 | Loss: 83.4, Accuracy (%): 45.73, Silent labels (%): 7.48, Time (s): 17.32
Train | Epoch 0.3 | Loss: 69.83, Accuracy (%): 54.66, Silent labels (%): 3.92, Time (s): 22.04
Train | Epoch 0.4 | Loss: 60.92, Accuracy (%): 59.87, Silent labels (%): 2.04, Time (s): 26.56
Train | Epoch 0.5 | Loss: 58.82, Accuracy (%): 61.53, Silent labels (%): 2.43, Time (s): 30.89
Train | Epoch 0.6 | Loss: 56.22, Accuracy (%): 64.12, Silent labels (%): 2.34, Time (s): 35.07
Train | Epoch 0.7 | Loss: 54.59, Accuracy (%): 65.6, Silent labels (%): 2.0, Time (s): 39.18
Train | Epoch 0.8 | Loss: 53.43, Accuracy (%): 66.16, Silent labels (%): 1.85, Time (s): 43.28
Train | Epoch 0.9 | Loss: 51.69, Accuracy (%): 67.71, Silent labels (%): 1.91, Time (s): 47.33
Train | Epoch 1.0 | Loss: 51.46, Accuracy (%): 67.23, Silent labels (%): 2.22, Time (s): 51.31
Test | Epoch 1.0 | Loss: 46.58, Accuracy (%): 67.23, Learning rate: 0.003, Hidden layer 1 spike counts: 392.69, Output layer spike counts: 149.78, Hidden layer 1 silents (%): 0.25, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 344.13, Output layer weights norm: 82.27, Time (s): 4.32
Best accuracy: 67.23%, Networks save to: best_model
Train | Epoch 1.1 | Loss: 44.85, Accuracy (%): 68.6, Silent labels (%): 0.0, Time (s): 5.06
Train | Epoch 1.2 | Loss: 43.48, Accuracy (%): 70.19, Silent labels (%): 0.0, Time (s): 9.05
Train | Epoch 1.3 | Loss: 42.69, Accuracy (%): 71.7, Silent labels (%): 0.0, Time (s): 12.99
Train | Epoch 1.4 | Loss: 42.12, Accuracy (%): 70.86, Silent labels (%): 0.0, Time (s): 16.95
Train | Epoch 1.5 | Loss: 41.46, Accuracy (%): 71.61, Silent labels (%): 0.0, Time (s): 20.87
Train | Epoch 1.6 | Loss: 40.43, Accuracy (%): 72.74, Silent labels (%): 0.0, Time (s): 24.78
Train | Epoch 1.7 | Loss: 39.75, Accuracy (%): 72.44, Silent labels (%): 0.0, Time (s): 28.65
Train | Epoch 1.8 | Loss: 39.21, Accuracy (%): 73.08, Silent labels (%): 0.0, Time (s): 32.49
Train | Epoch 1.9 | Loss: 38.53, Accuracy (%): 73.47, Silent labels (%): 0.0, Time (s): 36.31
Train | Epoch 2.0 | Loss: 38.1, Accuracy (%): 73.46, Silent labels (%): 0.0, Time (s): 40.08
Test | Epoch 2.0 | Loss: 38.36, Accuracy (%): 73.02, Learning rate: 0.003, Hidden layer 1 spike counts: 312.48, Output layer spike counts: 148.76, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 368.41, Output layer weights norm: 84.64, Time (s): 3.21
Best accuracy: 73.02%, Networks save to: best_model
Train | Epoch 2.1 | Loss: 37.72, Accuracy (%): 74.0, Silent labels (%): 0.0, Time (s): 4.79
Train | Epoch 2.2 | Loss: 37.32, Accuracy (%): 74.52, Silent labels (%): 0.0, Time (s): 8.48
Train | Epoch 2.3 | Loss: 38.14, Accuracy (%): 74.59, Silent labels (%): 0.01, Time (s): 12.19
Train | Epoch 2.4 | Loss: 39.55, Accuracy (%): 73.96, Silent labels (%): 0.04, Time (s): 15.93
Train | Epoch 2.5 | Loss: 39.78, Accuracy (%): 74.89, Silent labels (%): 0.01, Time (s): 19.73
Train | Epoch 2.6 | Loss: 39.93, Accuracy (%): 75.49, Silent labels (%): 0.01, Time (s): 23.61
Train | Epoch 2.7 | Loss: 39.28, Accuracy (%): 75.92, Silent labels (%): 0.04, Time (s): 27.58
Train | Epoch 2.8 | Loss: 39.45, Accuracy (%): 75.62, Silent labels (%): 0.02, Time (s): 31.55
Train | Epoch 2.9 | Loss: 39.35, Accuracy (%): 75.96, Silent labels (%): 0.04, Time (s): 35.58
Train | Epoch 3.0 | Loss: 38.86, Accuracy (%): 76.33, Silent labels (%): 0.08, Time (s): 39.66
Test | Epoch 3.0 | Loss: 39.79, Accuracy (%): 75.36, Learning rate: 0.003, Hidden layer 1 spike counts: 362.95, Output layer spike counts: 147.21, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 396.79, Output layer weights norm: 87.34, Time (s): 3.61
Best accuracy: 75.36%, Networks save to: best_model
Train | Epoch 3.1 | Loss: 39.14, Accuracy (%): 75.88, Silent labels (%): 0.05, Time (s): 4.91
Train | Epoch 3.2 | Loss: 39.32, Accuracy (%): 76.32, Silent labels (%): 0.09, Time (s): 8.9
Train | Epoch 3.3 | Loss: 39.64, Accuracy (%): 76.24, Silent labels (%): 0.04, Time (s): 12.84
Train | Epoch 3.4 | Loss: 39.23, Accuracy (%): 76.85, Silent labels (%): 0.06, Time (s): 16.79
Train | Epoch 3.5 | Loss: 39.16, Accuracy (%): 77.31, Silent labels (%): 0.03, Time (s): 20.73
Train | Epoch 3.6 | Loss: 39.46, Accuracy (%): 77.39, Silent labels (%): 0.04, Time (s): 24.76
