Using GPU: b'NVIDIA A40'
This network will be trained using DT = 0.004
Numpy seed: 111802432, Cupy seed: 1184049141
Loading datasets...
Creating network...
Training...
Train | Epoch 0.1 | Loss: 110.0, Accuracy (%): 24.29, Silent labels (%): 10.71, Time (s): 5.85
Train | Epoch 0.2 | Loss: 68.37, Accuracy (%): 49.4, Silent labels (%): 1.23, Time (s): 9.2
Train | Epoch 0.3 | Loss: 59.62, Accuracy (%): 56.42, Silent labels (%): 0.0, Time (s): 12.56
Train | Epoch 0.4 | Loss: 56.1, Accuracy (%): 60.2, Silent labels (%): 0.0, Time (s): 15.84
Train | Epoch 0.5 | Loss: 53.15, Accuracy (%): 63.64, Silent labels (%): 0.0, Time (s): 18.99
Train | Epoch 0.6 | Loss: 51.47, Accuracy (%): 64.72, Silent labels (%): 0.0, Time (s): 22.07
Train | Epoch 0.7 | Loss: 49.88, Accuracy (%): 66.37, Silent labels (%): 0.0, Time (s): 25.04
Train | Epoch 0.8 | Loss: 48.15, Accuracy (%): 67.4, Silent labels (%): 0.0, Time (s): 27.97
Train | Epoch 0.9 | Loss: 46.69, Accuracy (%): 68.61, Silent labels (%): 0.0, Time (s): 30.86
Train | Epoch 1.0 | Loss: 46.12, Accuracy (%): 68.86, Silent labels (%): 0.0, Time (s): 33.68
Test | Epoch 1.0 | Loss: 45.59, Accuracy (%): 69.12, Learning rate: 0.003, Hidden layer 1 spike counts: 404.94, Output layer spike counts: 148.84, Hidden layer 1 silents (%): 0.25, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 343.66, Output layer weights norm: 81.91, Time (s): 2.3
Best accuracy: 69.12%, Networks save to: best_model
Train | Epoch 1.1 | Loss: 44.79, Accuracy (%): 69.95, Silent labels (%): 0.0, Time (s): 2.93
Train | Epoch 1.2 | Loss: 44.12, Accuracy (%): 70.7, Silent labels (%): 0.0, Time (s): 5.72
Train | Epoch 1.3 | Loss: 43.14, Accuracy (%): 71.36, Silent labels (%): 0.0, Time (s): 8.48
Train | Epoch 1.4 | Loss: 42.6, Accuracy (%): 71.41, Silent labels (%): 0.0, Time (s): 11.2
Train | Epoch 1.5 | Loss: 41.81, Accuracy (%): 71.97, Silent labels (%): 0.0, Time (s): 13.92
Train | Epoch 1.6 | Loss: 41.15, Accuracy (%): 72.53, Silent labels (%): 0.0, Time (s): 16.63
Train | Epoch 1.7 | Loss: 40.86, Accuracy (%): 72.77, Silent labels (%): 0.0, Time (s): 19.3
