Using GPU: b'NVIDIA A40'
This network will be trained using DT = 0.002
Numpy seed: 79041095, Cupy seed: 1113127704
Loading datasets...
Creating network...
Training...
Train | Epoch 0.1 | Loss: 106.62, Accuracy (%): 24.92, Silent labels (%): 9.75, Time (s): 6.22
Train | Epoch 0.2 | Loss: 72.66, Accuracy (%): 48.52, Silent labels (%): 2.96, Time (s): 9.55
Train | Epoch 0.3 | Loss: 59.91, Accuracy (%): 56.11, Silent labels (%): 0.22, Time (s): 12.78
Train | Epoch 0.4 | Loss: 55.83, Accuracy (%): 60.83, Silent labels (%): 0.0, Time (s): 15.9
Train | Epoch 0.5 | Loss: 52.72, Accuracy (%): 63.88, Silent labels (%): 0.0, Time (s): 18.91
Train | Epoch 0.6 | Loss: 51.2, Accuracy (%): 64.34, Silent labels (%): 0.0, Time (s): 21.86
Train | Epoch 0.7 | Loss: 49.02, Accuracy (%): 66.41, Silent labels (%): 0.0, Time (s): 24.75
Train | Epoch 0.8 | Loss: 47.71, Accuracy (%): 67.59, Silent labels (%): 0.0, Time (s): 27.6
Train | Epoch 0.9 | Loss: 46.78, Accuracy (%): 68.42, Silent labels (%): 0.0, Time (s): 30.44
Train | Epoch 1.0 | Loss: 45.6, Accuracy (%): 68.94, Silent labels (%): 0.0, Time (s): 33.25
Test | Epoch 1.0 | Loss: 44.97, Accuracy (%): 69.01, Learning rate: 0.003, Hidden layer 1 spike counts: 408.86, Output layer spike counts: 149.18, Hidden layer 1 silents (%): 0.0, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 344.27, Output layer weights norm: 82.14, Time (s): 2.71
Best accuracy: 69.01%, Networks save to: best_model
Train | Epoch 1.1 | Loss: 44.09, Accuracy (%): 69.56, Silent labels (%): 0.0, Time (s): 3.04
Train | Epoch 1.2 | Loss: 43.21, Accuracy (%): 70.52, Silent labels (%): 0.0, Time (s): 5.87
Train | Epoch 1.3 | Loss: 42.47, Accuracy (%): 71.38, Silent labels (%): 0.0, Time (s): 8.66
Train | Epoch 1.4 | Loss: 41.94, Accuracy (%): 71.56, Silent labels (%): 0.0, Time (s): 11.46
Train | Epoch 1.5 | Loss: 41.11, Accuracy (%): 72.09, Silent labels (%): 0.0, Time (s): 14.21
Train | Epoch 1.6 | Loss: 40.88, Accuracy (%): 72.6, Silent labels (%): 0.0, Time (s): 16.97
Train | Epoch 1.7 | Loss: 39.83, Accuracy (%): 72.71, Silent labels (%): 0.01, Time (s): 19.67
Train | Epoch 1.8 | Loss: 40.12, Accuracy (%): 72.77, Silent labels (%): 0.0, Time (s): 22.34
Train | Epoch 1.9 | Loss: 39.33, Accuracy (%): 73.25, Silent labels (%): 0.0, Time (s): 25.02
