Using GPU: b'NVIDIA A40'
This network will be trained using DT = 0.007
Numpy seed: 1976814887, Cupy seed: 891974198
Loading datasets...
Creating network...
Training...
Train | Epoch 0.1 | Loss: 112.79, Accuracy (%): 22.7, Silent labels (%): 11.56, Time (s): 5.23
Train | Epoch 0.2 | Loss: 66.37, Accuracy (%): 49.24, Silent labels (%): 0.33, Time (s): 8.54
Train | Epoch 0.3 | Loss: 59.28, Accuracy (%): 57.37, Silent labels (%): 0.0, Time (s): 11.77
Train | Epoch 0.4 | Loss: 55.31, Accuracy (%): 61.47, Silent labels (%): 0.0, Time (s): 14.96
Train | Epoch 0.5 | Loss: 53.29, Accuracy (%): 63.09, Silent labels (%): 0.0, Time (s): 18.1
Train | Epoch 0.6 | Loss: 50.89, Accuracy (%): 64.59, Silent labels (%): 0.0, Time (s): 21.17
Train | Epoch 0.7 | Loss: 48.83, Accuracy (%): 66.56, Silent labels (%): 0.0, Time (s): 24.2
Train | Epoch 0.8 | Loss: 47.67, Accuracy (%): 67.93, Silent labels (%): 0.0, Time (s): 27.14
Train | Epoch 0.9 | Loss: 46.73, Accuracy (%): 69.11, Silent labels (%): 0.0, Time (s): 30.03
Train | Epoch 1.0 | Loss: 45.6, Accuracy (%): 69.66, Silent labels (%): 0.0, Time (s): 32.89
Test | Epoch 1.0 | Loss: 45.41, Accuracy (%): 69.13, Learning rate: 0.003, Hidden layer 1 spike counts: 408.48, Output layer spike counts: 147.05, Hidden layer 1 silents (%): 0.75, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 345.04, Output layer weights norm: 82.8, Time (s): 2.29
Best accuracy: 69.13%, Networks save to: best_model
Train | Epoch 1.1 | Loss: 44.08, Accuracy (%): 70.2, Silent labels (%): 0.0, Time (s): 3.3
Train | Epoch 1.2 | Loss: 43.59, Accuracy (%): 71.01, Silent labels (%): 0.0, Time (s): 6.07
Train | Epoch 1.3 | Loss: 43.0, Accuracy (%): 70.65, Silent labels (%): 0.0, Time (s): 8.79
Train | Epoch 1.4 | Loss: 42.64, Accuracy (%): 70.58, Silent labels (%): 0.0, Time (s): 11.48
Train | Epoch 1.5 | Loss: 41.95, Accuracy (%): 71.63, Silent labels (%): 0.0, Time (s): 14.13
Train | Epoch 1.6 | Loss: 40.63, Accuracy (%): 73.48, Silent labels (%): 0.0, Time (s): 16.79
Train | Epoch 1.7 | Loss: 41.04, Accuracy (%): 72.81, Silent labels (%): 0.0, Time (s): 19.42
Train | Epoch 1.8 | Loss: 40.18, Accuracy (%): 73.71, Silent labels (%): 0.0, Time (s): 22.04
Train | Epoch 1.9 | Loss: 39.79, Accuracy (%): 73.32, Silent labels (%): 0.0, Time (s): 24.61
Train | Epoch 2.0 | Loss: 39.74, Accuracy (%): 73.41, Silent labels (%): 0.0, Time (s): 27.18
Test | Epoch 2.0 | Loss: 39.51, Accuracy (%): 73.6, Learning rate: 0.003, Hidden layer 1 spike counts: 357.95, Output layer spike counts: 149.0, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 368.54, Output layer weights norm: 86.73, Time (s): 1.84
Best accuracy: 73.6%, Networks save to: best_model
Train | Epoch 2.1 | Loss: 38.78, Accuracy (%): 74.03, Silent labels (%): 0.0, Time (s): 2.84
Train | Epoch 2.2 | Loss: 38.56, Accuracy (%): 74.64, Silent labels (%): 0.0, Time (s): 5.37
Train | Epoch 2.3 | Loss: 37.84, Accuracy (%): 74.69, Silent labels (%): 0.0, Time (s): 7.88
Train | Epoch 2.4 | Loss: 37.74, Accuracy (%): 75.0, Silent labels (%): 0.01, Time (s): 10.4
Train | Epoch 2.5 | Loss: 37.38, Accuracy (%): 75.5, Silent labels (%): 0.0, Time (s): 12.9
Train | Epoch 2.6 | Loss: 37.43, Accuracy (%): 75.48, Silent labels (%): 0.0, Time (s): 15.4
Train | Epoch 2.7 | Loss: 36.76, Accuracy (%): 75.91, Silent labels (%): 0.0, Time (s): 17.89
Train | Epoch 2.8 | Loss: 36.89, Accuracy (%): 75.96, Silent labels (%): 0.0, Time (s): 20.37
Train | Epoch 2.9 | Loss: 36.69, Accuracy (%): 75.49, Silent labels (%): 0.0, Time (s): 22.83
