Using GPU: b'NVIDIA A40'
This network will be trained using DT = 0.0
Numpy seed: 903579789, Cupy seed: 2086416194
Loading datasets...
Creating network...
Training...
Train | Epoch 0.1 | Loss: 116.49, Accuracy (%): 23.52, Silent labels (%): 13.43, Time (s): 4.76
Train | Epoch 0.2 | Loss: 79.04, Accuracy (%): 47.88, Silent labels (%): 5.19, Time (s): 7.94
Train | Epoch 0.3 | Loss: 70.0, Accuracy (%): 55.49, Silent labels (%): 4.04, Time (s): 10.96
Train | Epoch 0.4 | Loss: 65.7, Accuracy (%): 58.18, Silent labels (%): 3.82, Time (s): 13.8
Train | Epoch 0.5 | Loss: 58.74, Accuracy (%): 62.04, Silent labels (%): 2.09, Time (s): 16.51
Train | Epoch 0.6 | Loss: 56.72, Accuracy (%): 63.43, Silent labels (%): 2.12, Time (s): 19.16
Train | Epoch 0.7 | Loss: 50.1, Accuracy (%): 65.85, Silent labels (%): 0.0, Time (s): 21.77
Train | Epoch 0.8 | Loss: 48.45, Accuracy (%): 66.94, Silent labels (%): 0.0, Time (s): 24.37
Train | Epoch 0.9 | Loss: 46.94, Accuracy (%): 68.71, Silent labels (%): 0.01, Time (s): 26.93
Train | Epoch 1.0 | Loss: 45.77, Accuracy (%): 68.99, Silent labels (%): 0.0, Time (s): 29.48
Test | Epoch 1.0 | Loss: 45.39, Accuracy (%): 69.39, Learning rate: 0.003, Hidden layer 1 spike counts: 374.62, Output layer spike counts: 149.61, Hidden layer 1 silents (%): 0.75, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 343.0, Output layer weights norm: 81.46, Time (s): 1.72
Best accuracy: 69.39%, Networks save to: best_model
Train | Epoch 1.1 | Loss: 44.52, Accuracy (%): 70.18, Silent labels (%): 0.0, Time (s): 2.63
Train | Epoch 1.2 | Loss: 43.53, Accuracy (%): 70.55, Silent labels (%): 0.0, Time (s): 5.14
Train | Epoch 1.3 | Loss: 42.4, Accuracy (%): 71.1, Silent labels (%): 0.0, Time (s): 7.62
Train | Epoch 1.4 | Loss: 41.41, Accuracy (%): 71.64, Silent labels (%): 0.01, Time (s): 10.09
Train | Epoch 1.5 | Loss: 40.48, Accuracy (%): 72.11, Silent labels (%): 0.0, Time (s): 12.53
Train | Epoch 1.6 | Loss: 40.08, Accuracy (%): 72.61, Silent labels (%): 0.0, Time (s): 14.96
Train | Epoch 1.7 | Loss: 39.32, Accuracy (%): 72.76, Silent labels (%): 0.0, Time (s): 17.36
Train | Epoch 1.8 | Loss: 39.18, Accuracy (%): 72.71, Silent labels (%): 0.0, Time (s): 19.75
Train | Epoch 1.9 | Loss: 38.57, Accuracy (%): 73.51, Silent labels (%): 0.01, Time (s): 22.12
Train | Epoch 2.0 | Loss: 38.46, Accuracy (%): 73.07, Silent labels (%): 0.0, Time (s): 24.48
Test | Epoch 2.0 | Loss: 38.33, Accuracy (%): 73.68, Learning rate: 0.003, Hidden layer 1 spike counts: 278.15, Output layer spike counts: 147.85, Hidden layer 1 silents (%): 0.75, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 367.62, Output layer weights norm: 83.46, Time (s): 1.57
Best accuracy: 73.68%, Networks save to: best_model
Train | Epoch 2.1 | Loss: 37.32, Accuracy (%): 74.42, Silent labels (%): 0.0, Time (s): 2.37
Train | Epoch 2.2 | Loss: 37.02, Accuracy (%): 75.29, Silent labels (%): 0.0, Time (s): 4.7
Train | Epoch 2.3 | Loss: 36.68, Accuracy (%): 75.12, Silent labels (%): 0.01, Time (s): 7.03
Train | Epoch 2.4 | Loss: 37.05, Accuracy (%): 74.84, Silent labels (%): 0.0, Time (s): 9.36
