Using GPU: b'NVIDIA A40'
This network will be trained using DT = 0.008
Numpy seed: 1559030741, Cupy seed: 874804696
Loading datasets...
Creating network...
Training...
Train | Epoch 0.1 | Loss: 112.94, Accuracy (%): 22.87, Silent labels (%): 12.67, Time (s): 5.52
Train | Epoch 0.2 | Loss: 69.9, Accuracy (%): 47.72, Silent labels (%): 2.25, Time (s): 8.79
Train | Epoch 0.3 | Loss: 64.27, Accuracy (%): 56.92, Silent labels (%): 2.21, Time (s): 11.98
Train | Epoch 0.4 | Loss: 61.34, Accuracy (%): 59.06, Silent labels (%): 2.48, Time (s): 15.11
Train | Epoch 0.5 | Loss: 58.37, Accuracy (%): 62.36, Silent labels (%): 1.92, Time (s): 18.17
Train | Epoch 0.6 | Loss: 55.27, Accuracy (%): 64.52, Silent labels (%): 1.7, Time (s): 21.18
Train | Epoch 0.7 | Loss: 49.66, Accuracy (%): 65.96, Silent labels (%): 0.0, Time (s): 24.14
Train | Epoch 0.8 | Loss: 48.2, Accuracy (%): 67.18, Silent labels (%): 0.0, Time (s): 27.02
Train | Epoch 0.9 | Loss: 46.5, Accuracy (%): 68.67, Silent labels (%): 0.0, Time (s): 29.85
Train | Epoch 1.0 | Loss: 45.97, Accuracy (%): 69.2, Silent labels (%): 0.0, Time (s): 32.63
Test | Epoch 1.0 | Loss: 45.6, Accuracy (%): 69.22, Learning rate: 0.003, Hidden layer 1 spike counts: 400.91, Output layer spike counts: 149.05, Hidden layer 1 silents (%): 0.75, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 345.07, Output layer weights norm: 82.28, Time (s): 2.18
Best accuracy: 69.22%, Networks save to: best_model
Train | Epoch 1.1 | Loss: 45.01, Accuracy (%): 69.7, Silent labels (%): 0.0, Time (s): 3.08
Train | Epoch 1.2 | Loss: 43.82, Accuracy (%): 70.57, Silent labels (%): 0.01, Time (s): 5.76
Train | Epoch 1.3 | Loss: 43.19, Accuracy (%): 71.13, Silent labels (%): 0.0, Time (s): 8.44
Train | Epoch 1.4 | Loss: 42.72, Accuracy (%): 71.05, Silent labels (%): 0.0, Time (s): 11.06
Train | Epoch 1.5 | Loss: 41.47, Accuracy (%): 72.51, Silent labels (%): 0.0, Time (s): 13.68
Train | Epoch 1.6 | Loss: 41.58, Accuracy (%): 71.55, Silent labels (%): 0.0, Time (s): 16.28
Train | Epoch 1.7 | Loss: 40.6, Accuracy (%): 72.71, Silent labels (%): 0.0, Time (s): 18.85
Train | Epoch 1.8 | Loss: 40.21, Accuracy (%): 73.4, Silent labels (%): 0.0, Time (s): 21.41
Train | Epoch 1.9 | Loss: 39.94, Accuracy (%): 72.8, Silent labels (%): 0.0, Time (s): 23.97
Train | Epoch 2.0 | Loss: 39.78, Accuracy (%): 73.21, Silent labels (%): 0.0, Time (s): 26.47
Test | Epoch 2.0 | Loss: 39.66, Accuracy (%): 73.37, Learning rate: 0.003, Hidden layer 1 spike counts: 342.1, Output layer spike counts: 149.1, Hidden layer 1 silents (%): 0.75, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 369.33, Output layer weights norm: 87.09, Time (s): 1.78
Best accuracy: 73.37%, Networks save to: best_model
Train | Epoch 2.1 | Loss: 39.13, Accuracy (%): 73.82, Silent labels (%): 0.0, Time (s): 2.88
Train | Epoch 2.2 | Loss: 38.61, Accuracy (%): 74.69, Silent labels (%): 0.0, Time (s): 5.37
Train | Epoch 2.3 | Loss: 38.33, Accuracy (%): 74.49, Silent labels (%): 0.0, Time (s): 7.85
Train | Epoch 2.4 | Loss: 37.89, Accuracy (%): 75.2, Silent labels (%): 0.0, Time (s): 10.36
Train | Epoch 2.5 | Loss: 37.63, Accuracy (%): 74.75, Silent labels (%): 0.0, Time (s): 12.83
Train | Epoch 2.6 | Loss: 37.44, Accuracy (%): 75.16, Silent labels (%): 0.0, Time (s): 15.27
Train | Epoch 2.7 | Loss: 36.97, Accuracy (%): 75.68, Silent labels (%): 0.0, Time (s): 17.76
Train | Epoch 2.8 | Loss: 37.0, Accuracy (%): 75.17, Silent labels (%): 0.0, Time (s): 20.19
Train | Epoch 2.9 | Loss: 36.94, Accuracy (%): 75.46, Silent labels (%): 0.0, Time (s): 22.61
Train | Epoch 3.0 | Loss: 36.42, Accuracy (%): 75.72, Silent labels (%): 0.0, Time (s): 25.08
Test | Epoch 3.0 | Loss: 36.91, Accuracy (%): 75.22, Learning rate: 0.003, Hidden layer 1 spike counts: 308.93, Output layer spike counts: 151.22, Hidden layer 1 silents (%): 1.0, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 393.99, Output layer weights norm: 92.01, Time (s): 1.72
Best accuracy: 75.22%, Networks save to: best_model
Train | Epoch 3.1 | Loss: 35.83, Accuracy (%): 76.41, Silent labels (%): 0.0, Time (s): 2.66
Train | Epoch 3.2 | Loss: 35.91, Accuracy (%): 76.42, Silent labels (%): 0.0, Time (s): 5.09
Train | Epoch 3.3 | Loss: 35.94, Accuracy (%): 75.95, Silent labels (%): 0.0, Time (s): 7.5
Train | Epoch 3.4 | Loss: 35.23, Accuracy (%): 77.0, Silent labels (%): 0.0, Time (s): 9.91
Train | Epoch 3.5 | Loss: 35.61, Accuracy (%): 76.55, Silent labels (%): 0.0, Time (s): 12.31
Train | Epoch 3.6 | Loss: 35.0, Accuracy (%): 77.05, Silent labels (%): 0.0, Time (s): 14.71
Train | Epoch 3.7 | Loss: 34.87, Accuracy (%): 77.05, Silent labels (%): 0.0, Time (s): 17.09
Train | Epoch 3.8 | Loss: 35.41, Accuracy (%): 76.39, Silent labels (%): 0.0, Time (s): 19.49
Train | Epoch 3.9 | Loss: 34.85, Accuracy (%): 77.07, Silent labels (%): 0.0, Time (s): 21.87
Train | Epoch 4.0 | Loss: 34.7, Accuracy (%): 76.92, Silent labels (%): 0.0, Time (s): 24.25
Test | Epoch 4.0 | Loss: 35.42, Accuracy (%): 76.65, Learning rate: 0.003, Hidden layer 1 spike counts: 284.78, Output layer spike counts: 149.18, Hidden layer 1 silents (%): 0.75, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 418.82, Output layer weights norm: 97.21, Time (s): 1.73
Best accuracy: 76.65%, Networks save to: best_model
Train | Epoch 4.1 | Loss: 34.36, Accuracy (%): 77.61, Silent labels (%): 0.0, Time (s): 2.56
Train | Epoch 4.2 | Loss: 34.44, Accuracy (%): 77.12, Silent labels (%): 0.0, Time (s): 4.93
Train | Epoch 4.3 | Loss: 34.22, Accuracy (%): 77.3, Silent labels (%): 0.0, Time (s): 7.31
Train | Epoch 4.4 | Loss: 33.97, Accuracy (%): 77.63, Silent labels (%): 0.0, Time (s): 9.68
Train | Epoch 4.5 | Loss: 34.06, Accuracy (%): 77.72, Silent labels (%): 0.0, Time (s): 12.03
Train | Epoch 4.6 | Loss: 33.88, Accuracy (%): 77.59, Silent labels (%): 0.0, Time (s): 14.43
Train | Epoch 4.7 | Loss: 34.32, Accuracy (%): 76.92, Silent labels (%): 0.0, Time (s): 16.79
Train | Epoch 4.8 | Loss: 33.95, Accuracy (%): 77.71, Silent labels (%): 0.0, Time (s): 19.14
Train | Epoch 4.9 | Loss: 33.4, Accuracy (%): 78.63, Silent labels (%): 0.0, Time (s): 21.53
Train | Epoch 5.0 | Loss: 33.62, Accuracy (%): 78.28, Silent labels (%): 0.0, Time (s): 23.88
Test | Epoch 5.0 | Loss: 34.54, Accuracy (%): 77.2, Learning rate: 0.003, Hidden layer 1 spike counts: 271.9, Output layer spike counts: 150.74, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 444.0, Output layer weights norm: 102.39, Time (s): 1.72
Best accuracy: 77.2%, Networks save to: best_model
Train | Epoch 5.1 | Loss: 33.15, Accuracy (%): 78.77, Silent labels (%): 0.0, Time (s): 2.46
Train | Epoch 5.2 | Loss: 33.35, Accuracy (%): 78.15, Silent labels (%): 0.0, Time (s): 4.8
Train | Epoch 5.3 | Loss: 32.8, Accuracy (%): 78.77, Silent labels (%): 0.0, Time (s): 7.13
Train | Epoch 5.4 | Loss: 33.25, Accuracy (%): 78.61, Silent labels (%): 0.0, Time (s): 9.48
Train | Epoch 5.5 | Loss: 33.34, Accuracy (%): 78.1, Silent labels (%): 0.0, Time (s): 11.81
Train | Epoch 5.6 | Loss: 33.3, Accuracy (%): 78.17, Silent labels (%): 0.0, Time (s): 14.14
Train | Epoch 5.7 | Loss: 33.43, Accuracy (%): 78.12, Silent labels (%): 0.0, Time (s): 16.47
Train | Epoch 5.8 | Loss: 32.84, Accuracy (%): 78.75, Silent labels (%): 0.0, Time (s): 18.81
Train | Epoch 5.9 | Loss: 32.96, Accuracy (%): 78.73, Silent labels (%): 0.0, Time (s): 21.14
Train | Epoch 6.0 | Loss: 33.15, Accuracy (%): 78.05, Silent labels (%): 0.0, Time (s): 23.46
Test | Epoch 6.0 | Loss: 34.17, Accuracy (%): 77.59, Learning rate: 0.003, Hidden layer 1 spike counts: 252.98, Output layer spike counts: 148.0, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 468.68, Output layer weights norm: 107.45, Time (s): 1.69
Best accuracy: 77.59%, Networks save to: best_model
Train | Epoch 6.1 | Loss: 32.47, Accuracy (%): 79.11, Silent labels (%): 0.0, Time (s): 2.45
Train | Epoch 6.2 | Loss: 32.52, Accuracy (%): 79.27, Silent labels (%): 0.0, Time (s): 4.77
Train | Epoch 6.3 | Loss: 32.3, Accuracy (%): 79.02, Silent labels (%): 0.0, Time (s): 7.09
Train | Epoch 6.4 | Loss: 32.23, Accuracy (%): 79.78, Silent labels (%): 0.0, Time (s): 9.42
Train | Epoch 6.5 | Loss: 32.84, Accuracy (%): 78.34, Silent labels (%): 0.0, Time (s): 11.74
