Using GPU: b'NVIDIA A40'
This network will be trained using DT = 0.006
Numpy seed: 480645178, Cupy seed: 1110864705
Loading datasets...
Creating network...
Training...
Train | Epoch 0.1 | Loss: 109.6, Accuracy (%): 24.24, Silent labels (%): 10.82, Time (s): 7.44
Train | Epoch 0.2 | Loss: 67.39, Accuracy (%): 49.8, Silent labels (%): 0.84, Time (s): 11.34
Train | Epoch 0.3 | Loss: 59.22, Accuracy (%): 58.17, Silent labels (%): 0.0, Time (s): 15.13
Train | Epoch 0.4 | Loss: 55.59, Accuracy (%): 61.44, Silent labels (%): 0.0, Time (s): 18.87
Train | Epoch 0.5 | Loss: 53.34, Accuracy (%): 62.74, Silent labels (%): 0.0, Time (s): 22.53
Train | Epoch 0.6 | Loss: 51.42, Accuracy (%): 65.58, Silent labels (%): 0.0, Time (s): 26.15
Train | Epoch 0.7 | Loss: 49.77, Accuracy (%): 65.75, Silent labels (%): 0.0, Time (s): 29.69
Train | Epoch 0.8 | Loss: 47.88, Accuracy (%): 68.34, Silent labels (%): 0.0, Time (s): 33.14
Train | Epoch 0.9 | Loss: 47.12, Accuracy (%): 68.11, Silent labels (%): 0.0, Time (s): 36.54
Train | Epoch 1.0 | Loss: 45.93, Accuracy (%): 69.25, Silent labels (%): 0.0, Time (s): 39.95
Test | Epoch 1.0 | Loss: 45.85, Accuracy (%): 69.2, Learning rate: 0.003, Hidden layer 1 spike counts: 406.09, Output layer spike counts: 149.15, Hidden layer 1 silents (%): 0.25, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 344.61, Output layer weights norm: 82.7, Time (s): 2.91
Best accuracy: 69.2%, Networks save to: best_model
Train | Epoch 1.1 | Loss: 44.54, Accuracy (%): 70.51, Silent labels (%): 0.0, Time (s): 4.01
Train | Epoch 1.2 | Loss: 43.94, Accuracy (%): 70.8, Silent labels (%): 0.0, Time (s): 7.32
Train | Epoch 1.3 | Loss: 43.51, Accuracy (%): 70.73, Silent labels (%): 0.0, Time (s): 10.6
Train | Epoch 1.4 | Loss: 42.79, Accuracy (%): 71.35, Silent labels (%): 0.0, Time (s): 13.83
Train | Epoch 1.5 | Loss: 41.76, Accuracy (%): 72.22, Silent labels (%): 0.0, Time (s): 17.04
Train | Epoch 1.6 | Loss: 41.28, Accuracy (%): 72.52, Silent labels (%): 0.0, Time (s): 20.22
Train | Epoch 1.7 | Loss: 40.84, Accuracy (%): 72.8, Silent labels (%): 0.0, Time (s): 23.35
Train | Epoch 1.8 | Loss: 40.59, Accuracy (%): 72.72, Silent labels (%): 0.0, Time (s): 26.16
Train | Epoch 1.9 | Loss: 40.14, Accuracy (%): 72.84, Silent labels (%): 0.0, Time (s): 28.98
Train | Epoch 2.0 | Loss: 39.61, Accuracy (%): 73.49, Silent labels (%): 0.0, Time (s): 31.77
Test | Epoch 2.0 | Loss: 39.8, Accuracy (%): 73.36, Learning rate: 0.003, Hidden layer 1 spike counts: 343.83, Output layer spike counts: 148.14, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 368.27, Output layer weights norm: 86.37, Time (s): 2.1
Best accuracy: 73.36%, Networks save to: best_model
Train | Epoch 2.1 | Loss: 38.47, Accuracy (%): 74.68, Silent labels (%): 0.0, Time (s): 3.19
Train | Epoch 2.2 | Loss: 38.41, Accuracy (%): 74.25, Silent labels (%): 0.0, Time (s): 5.98
Train | Epoch 2.3 | Loss: 38.08, Accuracy (%): 74.75, Silent labels (%): 0.0, Time (s): 8.75
Train | Epoch 2.4 | Loss: 37.54, Accuracy (%): 75.53, Silent labels (%): 0.0, Time (s): 11.51
Train | Epoch 2.5 | Loss: 37.99, Accuracy (%): 74.7, Silent labels (%): 0.0, Time (s): 14.28
Train | Epoch 2.6 | Loss: 37.24, Accuracy (%): 75.57, Silent labels (%): 0.0, Time (s): 17.04
Train | Epoch 2.7 | Loss: 36.68, Accuracy (%): 75.62, Silent labels (%): 0.0, Time (s): 19.81
Train | Epoch 2.8 | Loss: 36.89, Accuracy (%): 75.36, Silent labels (%): 0.0, Time (s): 22.57
Train | Epoch 2.9 | Loss: 36.55, Accuracy (%): 75.21, Silent labels (%): 0.0, Time (s): 25.34
Train | Epoch 3.0 | Loss: 36.55, Accuracy (%): 75.45, Silent labels (%): 0.01, Time (s): 28.09
Test | Epoch 3.0 | Loss: 36.85, Accuracy (%): 75.36, Learning rate: 0.003, Hidden layer 1 spike counts: 317.07, Output layer spike counts: 149.59, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 392.51, Output layer weights norm: 89.56, Time (s): 2.02
Best accuracy: 75.36%, Networks save to: best_model
